relative_path,format,bytes,sha256,records_or_items,variables,structural_note
data/figure_source_data/44586ea104cb_snapshot_grid.npz,npz,9968848,44586ea104cbdbe7654f29558e9adb14dc71b582a49d33695f211a1660951514,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/44ce4bae0f55_by_run.csv,csv,11377,44ce4bae0f551f8a2fb554499b764a3219fe0f34be2dfbda3302e8f2dc8924df,76,case;run_id;role;seed;n_both_present;n_predicted_missing;initial_false_front;conditional_chamfer_m;all_defined_penalized_m;reference_present_penalized_m;IC_grid_S_RMSE;IC_grid_S_bias,UTF-8 comma-separated table
data/figure_source_data/464c44c6a76b_paired_effects.csv,csv,9834,464c44c6a76b8910f59dea82fac548f3e42d9d9570ce589e29fbfab76df26dea,130,study;role;base;metric;mean_percent;SD_percent;n_increased;n,UTF-8 comma-separated table
data/figure_source_data/4c132295533d_K_paired_effects.csv,csv,1146,4c132295533d3725cc2eebde34375f908418a91d154445baeca7473c49ba48e9,15,role;metric;mean_percent;SD_percent;n_increased;n,UTF-8 comma-separated table
data/figure_source_data/4ee4ce7f2427_snapshot_grid.npz,npz,9974961,4ee4ce7f242738e9337cb528edb5bb8fbbc6cb2e1d3365dfd5e4b872be6468ed,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/5076b023483f_snapshot_metadata.json,json,772,21597fdb979f08418301b10095322df24792c8fa51617da40df2438d88b6fefe,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/5184d0351607_snapshot_grid.npz,npz,10246856,5184d0351607e240e5e927c4facf7d3b790349a9717e1b18a3dd75a26b03890b,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/5d5cfad89ed5_loss_points.csv,csv,96493,5d5cfad89ed5be27b4e7b05e46b8f2b52f6b8363c2ad85a8cd358ee5bf75ae0f,400,run_id;short_label;exp_name;training_strategy;leave_out;seed;kind;x;mode;loss;wPDE;wFV;wFG;beta;eps;pde;fv;fvC;fvW;dataP;dataS;Sg;Sf;Sp;Sfg;injF;injS;outP;outBF;noflow;icP;icS;alloc;reserv;max_alloc;max_reserv;nFG;dFG,UTF-8 comma-separated table
data/figure_source_data/61b4052f5350_snapshot_metadata.json,json,772,e6aac0619202b139308201a577d7bcfb961eb178cede23407513c0a340fcab10,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
data/figure_source_data/6999e0edfd8e_LOO_paired.csv,csv,1125,6999e0edfd8ebcbcb82cfcdf9898ae165b976fad9c23e2647aabc62c096687f8,18,removed;metric;mean;SD;n_positive,UTF-8 comma-separated table
data/figure_source_data/6b5c512412b3_K_by_seed.csv,csv,3823,6b5c512412b3b915b52473330bffb985a64d842c8941366beefff310d29840ab,20,role;seed;run_id;S_rel_l2;band_RMSE;band_time_mean_RMSE;pressure_RMSE_MPa;local_FV_residual;inventory_error;wall_hours;params;peak_alloc_GB,UTF-8 comma-separated table
data/figure_source_data/7097db6a3ed0_early.npz,npz,10112768,7097db6a3ed0e483c10c4c4d9393f914ab80ccfce899903f25ade60e1dbb2528,11,X;Y;p_true;p_pred;p_error;S_true;S_pred;S_error;time_seconds;time_display;time_unit,NumPy archive; allow_pickle=False compatible
data/figure_source_data/73c170a9b244_snapshot_metadata.json,json,772,1dfd7ccdf310c1a248cb45a62b66582cd8bd72a07966f3a9dddcb1adcf0b45a6,7,label;run_id;exp_name;training_strategy;leave_out;checkpoint;times,UTF-8 JSON metadata
